Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2,Kevin Durant,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291
3,Carmelo Anthony,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
4,Chris Paul,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
5,Kobe Bryant,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174
6,Tony Parker,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206
7,Tim Duncan,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
8,James Harden,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206
9,Russell Westbrook,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195
10,Dwyane Wade,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
11,Stephen Curry,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18
12,Kevin Garnett,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133
12,Marc Gasol,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197
12,Ty Lawson,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
12,David Lee,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15
12,Joakim Noah,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145
1,LeBron James,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
2,Kevin Durant,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
3,Chris Paul,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
4,Kobe Bryant,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
5,Tony Parker,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177
6,Kevin Love,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223
7,Dwight Howard,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179
8,Rajon Rondo,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121
9,Steve Nash,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144
10,Dwyane Wade,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227
11,Derrick Rose,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6,0.211
12,Dirk Nowitzki,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175
12,Russell Westbrook,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163
14,Tim Duncan,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,5.9,0.174
15,Joe Johnson,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145
1,Derrick Rose,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208
2,Dwight Howard,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235
3,LeBron James,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244
4,Kobe Bryant,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
5,Kevin Durant,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189
6,Dirk Nowitzki,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
7,Dwyane Wade,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
8,Manu Ginobili,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
9,Amare Stoudemire,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134
10,Blake Griffin,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
10,Rajon Rondo,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
12,Tony Parker,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156
13,Chris Paul,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
1,LeBron James,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299
2,Kevin Durant,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238
3,Kobe Bryant,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16
4,Dwight Howard,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223
5,Dwyane Wade,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224
6,Carmelo Anthony,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
7,Dirk Nowitzki,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194
8,Steve Nash,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178
9,Deron Williams,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
10,Amare Stoudemire,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181
11,Manu Ginobili,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216
12,Chauncey Billups,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182
12,Chris Bosh,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182
12,Stephen Jackson,38.6,20.6,5,3.7,1.6,0.5,0.423,0.328,0.779,5,0.077
12,Joe Johnson,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14
1,LeBron James,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
2,Kobe Bryant,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206
3,Dwyane Wade,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232
